Name,PLR
Fischtal,06040806
Zehlendorf Eiche,06040807
Hüttenweg,06040808
Thielallee,06040809
Dahlem,06040810
Wittenbergplatz/Viktoria-Luise-Platz,07010101
Nollendorfplatz,07010102
Barbarossaplatz,07010103
Dennewitzplatz,07010104
Bayerischer Platz,07020201
Volkspark (Rudolf-Wilde-Park),07020202
Kaiser-Wilhelm-Platz,07020203
Schöneberger Insel,07020204
Friedenau,07030301
Ceciliengärten,07030302
Grazer Platz,07030303
Neu-Tempelhof,07040401
Lindenhofsiedlung,07040402
Manteuffelstraße,07040403
Marienhöhe,07040404
Rathaus Tempelhof,07040405
Germaniagarten,07040406
Rathausstraße,07050501
Fritz-Werner-Straße,07050502
Eisenacher Straße,07050503
Imbrosweg,07050504
Hundsteinweg,07050505
Birnhornweg,07050506
Marienfelder Allee Nordwest,07060601
Kirchstraße,07060602
Marienfelde Nordost,07060603
Marienfelde Süd,07060604
Kettinger Straße/Schillerstraße,07070701
Alt-Lichtenrade/Töpchiner Weg,07070702
John-Locke-Straße,07070703
Nahariyastraße,07070704
Franziusweg/Rohrbachstraße,07070705
Horstwalder Straße/Paplitzer Straße,07070706
Wittelsbacherstraße,07070707
Hasenheide,08010115
Wissmannstraße,08010116
Schillerpromenade,08010117
Silbersteinstraße,08010118
Flughafenstraße,08010211
Rollberg,08010212
Körnerpark,08010213
Glasower Straße,08010214
Reuterkiez,08010301
Bouchéstraße,08010302
Donaustraße,08010303
Rixdorf,08010404
Hertzbergplatz,08010405
Treptower Straße Nord,08010406
Gewerbegebiet Ederstraße,08010407
Weiße Siedlung,08010508
Schulenburgpark,08010509
Gewerbegebiet Köllnische Heide,08010510
Buschkrugallee Nord,08020619
Tempelhofer Weg,08020620
Mohriner Allee Nord,08020621
Parchimer Allee,08020622
Ortolanweg,08020623
Britzer Garten,08020624
Handwerker-Siedlung,08020625
Buckow West,08020726
Buckow Mitte,08020727
Buckow Ost,08020728
Gropiusstadt Nord,08030829
Gropiusstadt Süd,08030830
Gropiusstadt Ost,08030831
Goldhähnchenweg,08040932
Vogelviertel Süd,08040933
Vogelviertel Nord,08040934
Blumenviertel,08041035
Zittauer Straße,08041036
Alt-Rudow,08041037
Waßmannsdorfer Chaussee,08041038
Frauenviertel,08041039
Waltersdorfer Chaussee Ost,08041040
Elsenstraße,09010101
Am Treptower Park Nord,09010102
Am Treptower Park Süd,09010201
Köpenicker Landstraße,09010202
Baumschulenstraße,09010301
Späthsfelde,09010302
Johannisthal West,09010401
Johannisthal Ost,09010402
Oberschöneweide West,09020501
Oberschöneweide Ost,09020502
Schnellerstraße,09020601
Oberspree,09020602
Adlershof West,09020701
Adlershof Ost,09020702
Spindlersfeld,09020801
Köllnische Vorstadt,09020802
Dorf Altglienicke,09030901
Wohngebiet II,09030902
Kölner Viertel,09030903
Bohnsdorf,09031001
Grünau,09031101
Karolinenhof,09031201
Schmöckwitz/Rauchfangswerder,09031202
Kietzer Feld/Nachtheide,09041301
Wendenschloß,09041302
Allende I,09041401
